nome,fonte,unidade,tipo_unidade,codigo_estado,estado,codigo_municipio,municipio,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100189,Pimenta Bueno,,,,,,,,,,,,,,,,,0,0,8,78,3256,22241,,12458,80381,89641,688906,660901,249047,401916,744266,313679,530171,712607,848534,796116,874835,975394,1117354,1107855,1006424,1840256,2437350,1609870,2275177,2417251,2348831,3271687,4234376,4391092
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100205,Porto Velho,,,,,,,,,,,,,,,,,0,0,0,0,0,84549,,34797,,,748918,1545761,3584089,3480323,2542749,3883308,4518940,5042945,9188751,4523565,4609790,5588264,10584515,11766964,20878004,20471812,23090620,20089814,10684949,15576863,13504497,12314339,20043039,39056796
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100254,Presidente Médici,,,,,,,,,,,,,,,,,0,,2,134,5188,95658,,0,205687,7506,165584,3488,2199073,1106371,2198458,,155480,14355,72692,1014030,797544,923446,972365,24642,1103158,122415,925035,529489,855703,2305883,1467855,1793692,3268047,3224257
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100262,Rio Crespo,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,0,189,1265,61521,210376,20113,295450,190159,65089,35345,47456,642738,654444,234775,688616,517948,285320,359042,380677,622001,529397,642915,811897,1276578
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100288,Rolim de Moura,,,,,,,,,,,,,,,,,0,0,0,90,6416,26622,,82728,127305,71009,24236,75431,225678,341013,115278,910483,1368926,1310435,1004915,762101,1420337,611606,1010583,199948,437946,713050,1336260,382271,169954,1653398,1852337,2911585,3653440,2768707
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100296,Santa Luzia D'Oeste,,,,,,,,,,,,,,,,,0,1,15,,326,3352,,30967,14395,25774,30124,19309,1480,145565,118761,49577,411228,177863,454614,148390,304655,344513,1034703,417995,853513,459678,324387,484971,726853,1285280,683234,1648075,1705047,3232903
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100304,Vilhena,,,,,,,,,,,,,,,,,2,10,56,77,33882,40722,,133553,482874,211948,683291,707,7700,1802,8000,0,503499,13654,304995,674147,52604,640556,1063869,1825946,5798793,2498716,1214810,4828038,2828980,7032965,9948304,8169297,10873333,9391174
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100320,São Miguel do Guaporé,,,,,,,,,,,,,,,,,1,4,0,0,24311,58228,,6706,5305,9853,164646,195771,318541,209432,69691,30584,308048,911873,516247,786937,1069769,1028114,541588,882661,1828068,3427472,3486902,1643475,2394333,1113936,1216213,2472742,3229821,3359619
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100338,Nova Mamoré,,,,,,,,,,,,,,,,,0,0,0,11,0,0,,0,5125,0,0,0,161992,176503,8356,36606,470179,177222,43582,14600,525742,183626,170578,350468,134498,51203,135179,71546,50528,189365,345754,145735,4461,85000
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1100346,Alvorada D'Oeste,,,,,,,,,,,,,,,,,0,1,0,237,9099,4509,,12671,29837,27693,168906,249706,352017,,29314,107899,144395,170820,,397019,576254,932357,584961,485467,623074,475075,845583,493653,514758,691076,950406,1178039,2313750,2774534
