nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,51,Mato Grosso,2934168,3105707,3430988,3582371,3888131,4222527,5249317,5496896,5967282,6365102,6787575,6507632,6859161,7407377,7850069,8473929,9041258,9890510,10138376,11681559,12653943,14153541,15573094,16337986,16751508,17242935,18924532,19921615,22183695,24613718,25918998,26651500,26064332,25683031,26018216,27357089,28757438,29265718,28740802,28395205,28592183,29364042,30296096,29725378,30199598,31973856,32702525,32424958,34246313,33994004
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,50,Mato Grosso do Sul,8939401,8836265,9267967,9303146,9375241,10020281,11904494,12942869,13190347,13472519,13882717,14991356,15986846,16496082,16976555,17732406,19163736,19542644,20394609,21800445,22244427,22292330,20755727,20982933,21421567,21576384,22205408,22619950,23168235,24983821,24715372,24504098,23726290,21832001,22365219,22325663,22354077,21553851,21498382,21047274,21003830,21357398,21800990,21474693,20896700,19407908,19027086,18608503,18433728,18891916
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,31,Minas Gerais,17077395,20429152,21144370,20478527,19855251,19680123,19614547,19710091,19839646,20059354,19901557,19847770,20032843,20190278,20291830,20355119,20471639,20764329,21066183,21034400,20707367,20146402,20148086,20377742,20501132,20082067,19975271,20218911,20558937,20852227,21622779,21403680,22203154,22575194,22369639,22469791,22698120,23907915,23965914,24201256,23707042,23768959,23637803,21971713,21810311,22020979,22165606,22856143,22993105,22498415
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,41,Paraná,5640628,6605310,6966555,6699544,6455816,6547526,7915140,8050488,7938760,7964042,7934294,8046780,8563315,8582536,8472318,8603778,8616783,8541933,8498877,8606629,8911986,9389200,9879889,9896554,9766594,9472808,9645866,9816547,10048172,10258535,10278148,10153375,9764545,9494843,9585600,9562113,9411380,9475676,9413937,9395313,9181577,9314908,9487999,9370139,9275271,8972546,8584939,8084187,7951680,8774410
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,25,Paraíba,1036212,1177475,1235653,1329537,1345173,1330304,1317783,1295745,1225864,1055894,1128276,1240627,1431583,1397079,1409825,1458629,1345361,1315144,1319682,858853,974670,1053737,1304730,1303010,928508,886349,952779,918262,951698,950865,1000199,1052613,1092792,1139322,1202363,1236276,1242579,1354268,967067,1048824,1145943,1170803,1187981,1202781,1240004,1293769,1344094,1371007,1371566,1412480
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,15,Pará,1377655,1430055,1518544,1638422,1737234,1864464,2411115,2810252,3198599,3588394,3933128,3378894,4036502,4580572,5365316,5870005,6182090,6626179,6989688,7434835,7539452,8058029,6751480,7539154,8337181,8862649,10271409,11046992,12190597,13376606,17430496,18063669,17501678,15353989,16240697,16856561,17633339,18262547,18605051,19165028,19911217,20271618,20476783,20585367,20628651,20953429,22267207,23921005,24791060,25040621
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,26,Pernambuco,1439283,1511814,1586375,1577761,1658236,1678347,1857891,1876150,1820185,1473108,1557887,1758259,1827720,1862124,1902424,1965914,1966191,1952170,1923315,1271114,1348969,1362064,1953629,1681823,1470370,1420449,1515712,1672634,1754362,1701655,1705401,1909468,2095184,2219892,2249788,2297366,2383268,2502156,1895642,1823230,1920075,1948357,1895185,1804876,1862181,1937165,1876961,2173313,2280130,2456213
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,22,Piauí,1467902,1379634,1396387,1424446,1468925,1537037,1595136,1629785,1667681,1531687,1588631,1600761,1658658,1729326,1812058,1895428,1974099,2045737,2029052,1982460,2053618,2135286,1729595,1736997,1750936,1756268,1779456,1791817,1804477,1818221,1830613,1826833,1838378,1736520,1750910,1682111,1679957,1688024,1689926,1666107,1660099,1649549,1639856,1625006,1464196,1447817,1431540,1421095,1407772,1384189
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,24,Rio Grande do Norte,731275,753352,779090,786754,809666,781535,906178,865441,803414,628798,681923,760033,953069,983626,1005415,1038356,956459,966260,929910,565975,646037,722058,934740,941048,793361,754965,803948,788314,839402,885400,942670,978494,1027289,1010238,1029240,1150028,1064575,1047797,858211,914777,972816,918952,840847,870000,863284,929451,988134,1015835,1059926,1173351
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,43,Rio Grande do Sul,12960804,12804167,12907102,12953576,12228178,12263628,14082148,14149701,14212042,13733010,13547584,13563090,13728072,13729256,13829640,13832766,13715085,13672801,13905291,14103022,14556224,14259226,13443106,13699814,13743130,13663893,13601000,13869678,14371138,14581757,14669713,14239906,13974827,13516426,14115643,14366298,14469307,14478312,14140654,14037367,13956953,13737316,13590282,13353122,12550379,11968216,11128019,11056530,11932838,12012219
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,33,Rio de Janeiro,1433035,1649084,1718946,1761901,1792353,1774057,1773665,1757528,1802664,1794325,1838668,1806780,1861590,1912057,1901687,1922535,1923847,1931726,1941838,1967208,2003902,1905353,1842977,1837099,1881342,1866061,1959497,1976909,1981026,2007124,2064763,2092748,2095666,2078529,2144882,2162043,2160727,2179671,2197615,2339978,2379648,2351451,2409718,2531239,2552587,2533164,2605970,2674067,2701143,2765715
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,11,Rondônia,41030,51507,65997,74889,116617,176221,250286,254348,347279,575083,693663,764299,884307,1051067,1247898,1594201,1718697,2826403,2773896,3286112,3469519,3928027,3937291,4330932,5104233,5441734,5664320,6605034,8039890,9392354,10671440,11349452,11484162,11007613,11176201,11532891,11842073,12182259,12218437,12329971,12744326,13397970,13682200,14091378,14367161,14349219,14804398,15110301,17688225,18162632
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,14,Roraima,286116,249978,260052,261732,263302,272508,326097,335872,345948,356326,280215,305155,342702,362386,376682,396726,0,345650,348807,0,285596,282049,400334,377546,424700,480500,480400,438000,423000,423400,459000,507000,508600,481100,476200,475380,577050,651511,686491,747045,735962,794783,780877,787318,817198,879007,925109,937989,1133502,1181553
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,42,Santa Catarina,2161296,2259340,2325710,2328640,2337048,2348365,2611737,2638117,2652850,2733930,2790606,2777327,2791830,2886709,2960442,2969344,2994111,3057416,3047147,3017369,2960343,2992986,3097657,3087053,3090120,3052952,3051104,3096275,3117737,3189825,3263414,3376725,3460835,3488992,3884264,3976165,3985662,4039217,4072960,4201561,4285931,4382299,4499505,4302861,4296052,4452571,4532618,4541890,4484105,4540794
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,28,Sergipe,727414,789784,818558,850894,890800,935443,1006400,977500,881738,647519,663484,777288,942718,855945,904078,1005482,1030453,1046797,1057839,907799,814767,796870,945680,946151,918270,936972,879730,866224,863447,895938,929794,1005177,1067508,1073692,1080833,1120832,1117765,1178771,1156157,1223215,1218972,1231130,1196248,1067121,1039346,1052263,1045507,1090821,1121930,1294262
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,35,São Paulo,10192202,11381957,11955114,11786698,11669071,11634751,11867074,11693179,11649607,11431325,11487510,11260601,11746215,11891008,11912382,12260743,12262909,12261609,12394312,12690148,12973841,13148133,12797505,12826949,12753030,13068672,13091946,13257952,13700785,14046426,13765873,13420780,12790383,11790564,11185556,11197605,11197697,11024796,10757383,10486750,10148423,10468135,11031408,11109523,10771635,10487012,10563637,10718494,11065605,10768360
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,17,Tocantins,2006504,2180096,2348572,2462963,2740502,2968039,3086753,3178542,3298000,3469000,3712580,3637120,3753090,3957100,4082310,4189580,4309160,4440540,4623500,5138904,5374168,5544400,5242655,5350885,5441860,5813170,6142096,6570653,6979102,7659743,7924546,7961926,7760590,7395450,7392515,7605249,7994200,8025400,8082336,8140580,8062227,8412404,8652161,8738477,8352513,8480724,9129804,10161938,10772509,11313309
