nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,codigo_mesorregiao,mesorregiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,43,Rio Grande do Sul,4305,Metropolitana de Porto Alegre,1210756,1284939,1300508,1309606,1168063,1160797,1338226,1343488,1350868,1314015,1276199,1279484,1217802,1198571,1148489,1131495,1115845,1060374,1085932,1086991,1101571,1134681,1013637,996522,1046365,1046008,1029199,1113939,1152715,1165579,1195450,1138938,1087532,1095480,1033885,1054643,1115201,1082486,1045635,1049755,1040353,1030620,1038927,1026997,949151,887511,846633,856991,933702,956219
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,26,Pernambuco,2605,Metropolitana de Recife,27905,25706,26530,26693,24051,27403,25223,24562,21987,23580,23343,23972,24242,27373,34349,33978,34773,27446,27463,32122,34223,34168,17106,33389,31835,30185,31728,29592,27908,29239,31785,35318,38708,42687,44070,41139,30272,31765,17556,15425,21015,20369,21212,22473,22483,22757,19773,21289,21862,21141
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,29,Bahia,2905,Metropolitana de Salvador,177047,260350,284834,288331,290845,300443,328359,349621,376264,409999,454931,505937,465196,511958,564735,616468,633149,653952,669912,636400,641001,646085,667117,507384,386356,370354,379860,390758,394750,405397,451513,400935,407294,409843,418722,333181,321904,314341,324917,353049,338509,336037,342281,327534,315030,318874,271789,332176,360119,381814
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,35,São Paulo,3515,Metropolitana de São Paulo,43253,37237,38526,37794,38778,43420,34340,34133,38237,41277,41153,41510,35556,30017,31811,44946,39032,37076,34841,41469,37130,31778,28097,30423,29197,30834,31868,33123,33086,31716,30746,31015,30887,21085,28771,28066,36001,33771,33210,33711,29489,28066,29086,30479,30234,30267,28922,32811,29868,29398
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,33,Rio de Janeiro,3306,Metropolitana do Rio de Janeiro,181797,207777,219941,232076,244232,247970,230744,219427,226831,237091,246390,271870,261627,253862,255683,252346,256478,281452,288301,280782,299021,298263,241827,224233,229203,229565,239041,241662,239535,247306,252084,248458,239367,211823,213355,218243,222302,217396,216174,248820,276761,298445,283108,279843,278825,276345,286834,294382,303507,310127
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,29,Bahia,2904,Nordeste Baiano,786914,1056660,1139680,1137174,1182488,1247297,1279623,1326347,1438108,1364840,1395151,1485762,1422927,1505601,1648748,1784217,1880656,2005619,2138730,1021962,1097817,1099477,1157752,1228924,1055780,943811,1040001,1058338,1040051,1070235,1103237,1166857,1214241,1271633,1277620,1108610,1143930,1175415,1044986,1110890,1149285,1194643,1179018,1067329,1005829,1052282,1026540,1291569,1436532,1552580
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,51,Mato Grosso,5102,Nordeste Mato-grossense,883855,487809,580571,673414,724128,744210,1137366,1118199,1251092,1339389,1443253,1344747,1423710,1536122,1680206,1799423,1908438,1953826,2040233,2595275,2646915,2886138,3243455,3462604,3677062,3856851,4145266,4179662,4664467,5049854,5336102,5518462,5634460,5655003,5598349,6036553,6295882,6501089,6144243,5692167,5728647,5827821,5942221,5457541,5484516,5915815,6262742,6244054,6458484,6014563
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,15,Pará,1504,Nordeste Paraense,141879,154286,180347,200357,210834,234581,425131,448474,525997,413452,503781,382132,456143,486075,565771,630791,656566,679114,734532,738249,773054,797454,568367,636068,654767,774175,876922,913776,997083,1140377,1181425,1313164,1348509,1321616,1385451,1300222,1240929,1238424,1259273,1186155,1301761,1337868,1310746,1215868,1275930,1335470,1432012,1545517,1643610,1671209
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,43,Rio Grande do Sul,4302,Nordeste Rio-grandense,950533,983179,1003491,1015785,989667,1010914,1071405,1061885,1049680,1003478,961651,949434,990184,1002871,996853,983699,977310,972855,998088,1015268,981728,904137,948667,960996,946971,951134,948807,850417,847025,885921,882745,845422,870117,850227,897239,883082,885014,892005,892916,907438,910363,898711,935203,940100,905121,879955,810955,819754,858165,892965
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,23,Ceará,2301,Noroeste Cearense,462570,394303,397871,402915,412800,451430,450488,437518,443963,339555,393562,452630,479503,490861,510896,523524,513292,508743,501681,430013,454862,467643,456522,452857,401180,396827,403352,399701,405184,412775,399016,397872,412425,415540,419504,430684,444158,448634,447981,434626,414152,391670,379527,378609,376816,389630,379180,365323,367815,370575
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,32,Espírito Santo,3201,Noroeste Espírito-santense,531432,705328,749057,768365,702528,623809,577322,563505,529330,546230,523705,486901,507584,483974,478442,451008,438313,471787,464105,519297,522316,547079,494257,536420,534294,490694,469328,453425,478042,529047,562532,626687,697244,725513,720330,708299,723354,735959,771184,783401,776848,740965,608489,564303,572678,592481,642421,684042,694921,667568
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,33,Rio de Janeiro,3301,Noroeste Fluminense,329752,389894,405778,430131,429584,433269,446689,424140,422455,399098,398687,399182,376703,421908,420655,443162,409653,418125,417760,410650,405275,413656,410602,415884,424361,421305,438422,449205,457437,463554,482750,490970,505330,521285,506928,493794,493997,482174,492604,507901,510961,518390,535407,555524,560028,572051,579236,589244,628247,636438
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,52,Goiás,5201,Noroeste Goiano,1343443,1829747,2036150,2033400,2064376,2225175,2352313,2479600,2550385,2764530,3044730,2586600,2559785,2730770,2908120,3104700,3255800,3555600,3799030,3866780,4119750,4106250,3434000,3495700,3594690,3675955,3789820,3976060,4371295,4377759,4545955,4609290,4579950,4567150,4625570,4814011,4962599,4876510,4887220,4724273,4843185,4889528,5037228,4879064,4992649,5110236,5384048,5551754,5536155,5256244
Efetivo - Bovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,41,Paraná,4101,Noroeste Paranaense,1849451,2551644,2804214,2591747,2539536,2582685,2876317,2887407,2659197,2630994,2554846,2526649,2683123,2632183,2550405,2570141,2532396,2462934,2386650,2453074,2483294,2577930,2605739,2584416,2559817,2500171,2548060,2575180,2562240,2629530,2485593,2362992,2160294,2138156,2186061,2168501,2160877,2167978,2128610,2084593,2005166,2108141,2163236,2183069,2144969,2068775,1953562,1979586,1935194,2149304
