nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
Efetivo - Equinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,702190,697205,671572,638947,641969,655935,698763,698520,724806,749222,774824,806732,822974,846047,856591,894077,916483,953124,954324,1019306,1034885,1061097,1029028,1045981,1063196,1071176,1083082,1090664,1104476,1119842,1126815,1131555,1133022,1120354,1111355,1122321,1125144,1123287,1070768,994238,1043948,1159272,1113516,1042375,1140957,1201655,1357940,1274344,1279007,1185972
Efetivo - Equinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,1469102,1518400,1426212,1431696,1427172,1469910,1509817,1533442,1529150,1505955,1542729,1595947,1647210,1660818,1690664,1725785,1740467,1761136,1780279,1680994,1681896,1697063,1412338,1433495,1413760,1408397,1400180,1403297,1391596,1405484,1412432,1423693,1428543,1430408,1420493,1375419,1367895,1342489,1279148,1245616,1246471,1258244,1297723,1313558,1337960,1334990,1339892,1297959,1342687,1387392
Efetivo - Equinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,303925,320763,306466,302350,287331,309508,341019,312451,326478,359253,388740,402205,420301,469342,493604,513834,482387,530694,549528,566237,597550,638826,501966,527179,542377,569790,580641,592192,595375,633976,661833,668057,670439,682411,695865,712700,736075,775398,756604,811876,877176,856234,897858,883059,981739,1024959,1012145,1003702,1051485,1086172
Efetivo - Equinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,1272577,1426415,1484958,1351661,1344233,1372028,1388545,1527041,1541805,1541835,1600421,1607055,1677222,1701554,1758793,1760466,1775638,1788190,1836830,1837332,1832330,1811121,1681684,1694574,1694678,1651208,1641507,1634182,1603407,1580147,1538934,1532240,1515764,1431189,1364044,1357322,1359087,1344629,1339572,1294079,1320259,1312854,1292458,1324993,1373402,1355169,1338639,1325382,1319113,1306556
Efetivo - Equinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,1468749,1544185,1267622,1209432,1152504,1120486,1116559,1155322,1137469,1132497,1135569,1138056,1167226,1177222,1171842,1203623,1206540,1203463,1208252,1210261,1209064,1186038,1080080,1130304,1152769,1130770,1126407,1080713,1079639,1088927,1047236,1031704,1001349,937691,950425,929055,926052,924798,917093,966267,962747,964684,974581,946674,915764,934545,913510,879036,842460,833422
Efetivo - Ovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,229455,144013,143302,145882,143277,170657,187833,193569,210396,243695,267337,270330,292978,315350,337387,365730,392826,413286,418417,439683,454334,467843,618943,639617,653902,672968,693843,722882,753071,799984,857067,937413,987090,1086238,1110550,1127878,1268175,1209581,1078316,954704,982434,1027552,1045425,1009579,1027452,1045242,1014619,1025302,1022911,861752
Efetivo - Ovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,5347869,5585113,5797550,5833122,5992437,6117367,6176482,6260933,6334125,5935224,6247715,6571917,6899905,7003813,7311875,7576593,7697746,7904525,7973938,6597796,6745092,6987061,7102331,7166639,6972422,7336985,7762475,8060619,8012130,8233014,8712287,9109668,9379380,9286258,9371905,9566968,9857754,10112726,9325885,9774436,10126799,11149336,11597530,12058840,12630902,13768459,14561928,14366310,15044960,15521837
Efetivo - Ovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,149402,84428,93434,94411,98213,106176,124726,126690,135489,158724,179198,197567,199982,248611,276270,275289,252838,302493,328228,322117,325716,369732,289467,305236,321079,338490,360141,372027,367373,407643,429025,481528,496755,521640,534478,547146,586237,627563,598643,652328,634165,655656,684950,656251,665370,595846,571266,604722,602218,624608
Efetivo - Ovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,257897,261981,282357,270622,262220,266394,257798,283116,301711,311082,316894,341323,351078,369341,400614,395012,405277,399097,387258,383231,372775,378498,422829,414199,399146,402611,399925,435586,457368,493478,543693,606934,664422,742078,766808,762133,781874,771190,744426,722228,704831,700336,669680,623693,611202,604079,616517,607392,598438,558973
Efetivo - Ovinos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,12892147,11752691,11685512,11664548,10922161,11145674,11634121,12189824,11606428,11472651,11436100,11277830,11906296,11912294,11758731,11428839,11265818,11108544,10848033,10265456,10538181,10133298,6291933,6008025,5921838,5648906,5568574,5047631,4687119,4622365,4515766,4452498,4491523,4603241,4846667,4807596,4886541,4947003,5042222,5186823,5166225,4877671,4406362,4258404,4012426,3958176,3864369,3941173,4253089,4224969
Efetivo - Suínos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,5,Centro-Oeste,2948544,3074056,3201498,2892730,3012963,3131215,2508745,2498463,2641625,2799259,2981827,3031823,2781413,2975694,3157622,3305244,3459268,3543731,3340651,3436391,3506655,3593435,2380885,2422653,2511157,2629446,2801698,3032134,3314741,3558181,3767256,3826761,4004854,4013772,4289518,4997306,5375441,5539628,5105469,5103633,5239486,6320813,5962440,6217877,6347139,6135460,6052812,6197884,6264159,5557314
Efetivo - Suínos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,2,Nordeste,8635667,10306974,10737639,9951982,10212766,10546329,7993503,7756800,7883637,7348088,7581583,8617202,8605352,8861259,9228224,9533669,9691742,9759011,9751589,8787248,8961688,9083746,7105798,7079652,6920565,7058703,7140280,7198274,7096472,7051204,7049043,7090085,7167368,6747013,6665572,6290004,6197109,6079495,5857733,5559110,5666815,5815558,5760011,5689213,5742769,5864208,5924912,6023242,6151942,6392826
Efetivo - Suínos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,1,Norte,1452077,1648553,1775358,1540586,1595600,1911515,2275334,2449528,2753280,3140418,3475339,2750837,2857996,3235788,3550253,3776187,3750066,4025404,4216142,4333891,4430568,4595163,2349105,2474468,2573414,2581828,2619791,2630606,2187589,2163430,2083318,2100033,1962164,1739411,1629552,1627822,1607481,1569553,1489219,1261870,1308154,1363355,1458380,1581433,1563123,1495419,1498089,1497944,1562952,1469647
Efetivo - Suínos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,3,Sudeste,6657815,7204099,7535307,6529466,6370434,6860674,6141364,6050835,6061247,5937660,5932185,5859728,5967263,6035334,5937902,5983488,6085142,6134716,6138753,6075325,6209744,6210177,4845513,4912909,5055128,5396811,5548313,5765119,5670807,5590524,5727709,5956328,6055323,6355842,6436125,6692336,7133257,7024065,7131055,6904686,7033944,6932972,6752990,6909653,7011550,6988242,7038757,7449953,7391513,7260743
Efetivo - Suínos - quantidade,Instituto Brasileiro de Geografia e Estatística,Cabeca,0,brasil,4,Sul,14497883,15406609,15492300,13617389,12507207,13245279,15412290,13673618,13835808,12452116,12356405,11988097,12324145,11368256,10246894,10416450,10636968,10827413,11085033,11551332,12033184,12579582,12520881,12747427,12946682,13171828,13452029,13977949,13649140,13941566,14457973,15090727,15984115,17088977,17798250,18437986,18643470,19094595,19212426,17914294,18681908,19362524,20119363,20984853,20567275,20072780,20609663,21381869,23017785,22317006
