nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,5,Centro-Oeste,51,Mato Grosso,7723.0,13880.0,7870.0,15630.0,5585.0,5200.0,4480.0,3839.0,4338.0,2093.0,6292.0,16945.0,16015.0,13307.0,30744.0,42763.0,43422.0,68443.0,53836.0,69584.0,66059.0,69390.0,55075.0,42259.0,106483.0,200182.0,257762.0,412315.0,328046.0,290531.0,469780.0,482391.0,392408.0,560838.0,539586.0,357543.0,420782.0,719582.0,728645.0,486024.0,613189.0,574145.0,606025.0,616374.0,761864.0,1106497.0,1140416.0,963041.0,1192260.0,1229957.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,5,Centro-Oeste,50,Mato Grosso do Sul,37704.0,76319.0,43171.0,52735.0,39979.0,45833.0,44615.0,47504.0,41465.0,42883.0,34424.0,66619.0,49955.0,50310.0,50058.0,45421.0,44570.0,51888.0,73333.0,39643.0,41135.0,60011.0,59637.0,26604.0,49151.0,46231.0,48450.0,50058.0,44675.0,43635.0,55975.0,63718.0,29499.0,46249.0,44224.0,36716.0,38743.0,60918.0,61915.0,38964.0,37707.0,30724.0,29610.0,28841.0,30450.0,37895.0,31655.0,23005.0,25499.0,29639.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,31,Minas Gerais,98000.0,108202.0,93623.0,116144.0,120419.0,100043.0,103050.0,116151.0,99062.0,83414.0,109138.0,164927.0,161769.0,131436.0,162209.0,126589.0,129899.0,118409.0,111315.0,88439.0,84155.0,61696.0,41484.0,56094.0,82519.0,51748.0,49306.0,41215.0,39091.0,34168.0,50999.0,57227.0,34807.0,30310.0,20524.0,15123.0,16237.0,32306.0,30233.0,20231.0,20864.0,18231.0,19264.0,18741.0,22286.0,42224.0,39114.0,26173.0,25397.0,27341.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,4,Sul,41,Paraná,310000.0,267000.0,181450.0,290400.0,290100.0,286800.0,336000.0,305790.0,369500.0,440000.0,322124.0,540000.0,415000.0,386000.0,470000.0,415091.0,490000.0,618000.0,704498.0,345000.0,235000.0,282760.0,181916.0,59874.0,112994.0,48166.0,54109.0,71211.0,36181.0,30049.0,47315.0,57187.0,13890.0,12253.0,6528.0,3251.0,3335.0,1132.0,1233.0,94.0,0.0,0.0,0.0,0.0,154.0,302.0,98.0,97.0,48.0,147.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,25,Paraíba,134116.0,130055.0,114206.0,110582.0,106011.0,132656.0,171528.0,202408.0,176395.0,138874.0,168856.0,193993.0,103856.0,13349.0,26271.0,34377.0,24508.0,24266.0,32458.0,7923.0,21666.0,24287.0,14152.0,16506.0,2773.0,10255.0,23530.0,6258.0,6478.0,8177.0,21566.0,14873.0,8540.0,5645.0,3324.0,2138.0,1989.0,1413.0,120.0,93.0,32.0,235.0,179.0,403.0,477.0,911.0,2197.0,1450.0,916.0,895.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,1,Norte,15,Pará,56.0,301.0,303.0,1296.0,2441.0,2419.0,3944.0,5056.0,11437.0,12295.0,22744.0,5307.0,6945.0,7074.0,11739.0,10538.0,9302.0,4971.0,1513.0,1973.0,1630.0,1444.0,2507.0,1762.0,1203.0,266.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,26,Pernambuco,121300.0,97750.0,89600.0,79351.0,48080.0,44595.0,37270.0,32917.0,43841.0,21663.0,50022.0,59866.0,47886.0,10952.0,18310.0,16511.0,7995.0,10051.0,6576.0,2024.0,10117.0,8522.0,4302.0,5354.0,616.0,1749.0,10930.0,4258.0,5348.0,2751.0,3724.0,3683.0,3229.0,2575.0,2803.0,2387.0,1748.0,1069.0,457.0,0.0,77.0,33.0,38.0,50.0,47.0,190.0,81.0,85.0,90.0,52.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,22,Piauí,10902.0,10054.0,8525.0,3242.0,2905.0,3123.0,6042.0,10577.0,12271.0,11649.0,26036.0,61310.0,64795.0,37678.0,40732.0,22885.0,15327.0,15233.0,28062.0,22274.0,41325.0,42212.0,14182.0,13996.0,14480.0,4832.0,13175.0,8167.0,7762.0,6978.0,11047.0,13860.0,9217.0,13212.0,14600.0,9902.0,10670.0,17076.0,20781.0,10436.0,11521.0,14129.0,4892.0,5423.0,7369.0,15488.0,18322.0,9512.0,13475.0,16369.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,24,Rio Grande do Norte,122545.0,98821.0,98638.0,161303.0,160218.0,108992.0,158340.0,110480.0,154085.0,61178.0,167013.0,158711.0,70880.0,6153.0,47184.0,42144.0,6822.0,19704.0,34370.0,672.0,42009.0,46345.0,23337.0,20911.0,3100.0,7799.0,21699.0,10951.0,17845.0,17729.0,19752.0,13182.0,11941.0,4430.0,6530.0,5535.0,5070.0,3669.0,327.0,236.0,211.0,282.0,252.0,251.0,266.0,324.0,273.0,270.0,325.0,597.0,
Área colhida - Algodão herbáceo (caroço) - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,4,Sul,43,Rio Grande do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
