nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Área colhida - Arroz - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,5,Centro-Oeste,2736568.0,3161830.0,4969192.0,2200817.0,2134227.0,2091094.0,2367091.0,2185720.0,1914736.0,1694142.0,1589158.0,1194130.0,1485069.0,1767107.0,1647975.0,1229160.0,772771.0,738116.0,1122332.0,908510.0,874505.0,774013.0,681778.0,563362.0,552888.0,993686.0,915649.0,618331.0,595639.0,603867.0,957558.0,1090219.0,436886.0,434989.0,375797.0,417378.0,356207.0,307252.0,216930.0,215668.0,227899.0,229166.0,205386.0,243267.0,193780.0,186646.0,154496.0,158164.0,143161.0,125069.0,
Área colhida - Arroz - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,1474798.0,1778428.0,1886794.0,1033610.0,1042108.0,1129458.0,1275185.0,1319250.0,1574399.0,998612.0,1108279.0,976379.0,1384405.0,1343546.0,1443985.0,1369307.0,1050865.0,1212907.0,1210823.0,1120306.0,1192872.0,1225922.0,676514.0,696279.0,687748.0,754293.0,788665.0,714728.0,723759.0,717180.0,766743.0,805524.0,716372.0,734131.0,687111.0,682568.0,668869.0,679404.0,581473.0,549084.0,528293.0,341858.0,242519.0,241082.0,211703.0,153714.0,161141.0,171628.0,160228.0,154464.0,
Área colhida - Arroz - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,1,Norte,506594.0,655232.0,692420.0,328546.0,330591.0,385757.0,501194.0,550855.0,630332.0,498429.0,641600.0,611947.0,728943.0,728294.0,793683.0,743993.0,428254.0,437837.0,506010.0,518748.0,560140.0,604516.0,508836.0,495144.0,536809.0,621322.0,597927.0,500353.0,485145.0,554596.0,608766.0,654803.0,464045.0,460937.0,426984.0,388700.0,375977.0,342554.0,333539.0,284026.0,259382.0,246545.0,242849.0,232959.0,217184.0,222051.0,228636.0,226989.0,203200.0,197395.0,
Área colhida - Arroz - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,2537454.0,2844330.0,3112034.0,1150883.0,1061143.0,879267.0,956620.0,1012159.0,933706.0,921370.0,951841.0,907105.0,979158.0,980292.0,917225.0,789833.0,693508.0,677190.0,672936.0,614790.0,555751.0,526793.0,318594.0,301331.0,254772.0,246017.0,203563.0,145588.0,142644.0,129092.0,137054.0,148639.0,116333.0,115718.0,91314.0,76483.0,77554.0,65924.0,59217.0,38477.0,32844.0,22854.0,17588.0,14509.0,15084.0,14522.0,13976.0,13836.0,14627.0,13384.0,
Área colhida - Arroz - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,4,Sul,2074352.0,2172720.0,2652520.0,1278234.0,1055446.0,966510.0,1143048.0,1033788.0,971484.0,995697.0,1060595.0,1065131.0,1007404.0,1160553.0,1156232.0,1117856.0,1001293.0,1055547.0,1174921.0,1248961.0,1231535.0,1242294.0,1068045.0,1002011.0,1029978.0,1197948.0,1159000.0,1163826.0,1194864.0,1176124.0,1263027.0,1217120.0,1237282.0,1145151.0,1238188.0,1274240.0,1257763.0,1357757.0,1222129.0,1265897.0,1292460.0,1297974.0,1235596.0,1274385.0,1234404.0,1133130.0,1119456.0,1118573.0,1101774.0,992436.0,
Área colhida - Banana - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,5,Centro-Oeste,21137.0,19702.0,19143.0,25326.0,25071.0,21969.0,24274.0,29182.0,27918.0,31134.0,35757.0,41375.0,38450.0,37560.0,40414.0,48066.0,50026.0,49233.0,51373.0,46972.0,46517.0,39502.0,39695.0,74848.0,47200.0,46570.0,42825.0,39568.0,24324.0,27661.0,26475.0,23519.0,21938.0,22249.0,21503.0,20982.0,21746.0,21086.0,20127.0,20333.0,20192.0,20416.0,21743.0,22261.0,22185.0,22713.0,22006.0,20539.0,21387.0,21073.0,
Área colhida - Banana - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,2,Nordeste,87602.0,95866.0,105684.0,119027.0,117732.0,124774.0,138924.0,136688.0,137866.0,138190.0,135792.0,136700.0,147325.0,163488.0,173583.0,180873.0,187096.0,187972.0,201272.0,196587.0,186801.0,190812.0,180515.0,184259.0,171950.0,163334.0,171450.0,168919.0,176539.0,180148.0,185501.0,193918.0,207090.0,216041.0,220041.0,196347.0,203056.0,212722.0,197295.0,195624.0,191941.0,186522.0,174817.0,184406.0,178385.0,180513.0,180749.0,181125.0,184493.0,182152.0,
Área colhida - Banana - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,1,Norte,10476.0,21645.0,16260.0,27376.0,36304.0,40571.0,53778.0,68852.0,69342.0,69837.0,60833.0,63576.0,66847.0,59380.0,68076.0,72559.0,70729.0,71174.0,79623.0,88302.0,91241.0,93534.0,99996.0,100451.0,115662.0,122629.0,122418.0,113397.0,108556.0,110151.0,98040.0,87386.0,88611.0,91569.0,82464.0,74042.0,70584.0,71672.0,70576.0,79964.0,81015.0,83513.0,77343.0,78946.0,76046.0,73140.0,67475.0,70368.0,71176.0,72773.0,
Área colhida - Banana - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,3,Sudeste,157259.0,151686.0,146914.0,150132.0,117732.0,126632.0,124138.0,122167.0,127063.0,124971.0,127664.0,138189.0,138992.0,146457.0,142641.0,139299.0,137171.0,137555.0,138500.0,139729.0,143591.0,138658.0,137339.0,133059.0,141552.0,144367.0,147509.0,142098.0,144417.0,141344.0,131288.0,134903.0,135049.0,132970.0,133094.0,132002.0,135498.0,144546.0,139811.0,136208.0,135625.0,138055.0,140436.0,126977.0,133137.0,136223.0,134892.0,132299.0,131696.0,132113.0,
Área colhida - Banana - hectare,Instituto Brasileiro de Geografia e Estatística,hectare,0,brasil,4,Sul,30346.0,24751.0,23540.0,29713.0,31448.0,29708.0,30160.0,30939.0,33569.0,32355.0,35763.0,38007.0,39010.0,40506.0,41310.0,42445.0,42861.0,44683.0,45076.0,48424.0,47937.0,46859.0,39048.0,40128.0,42069.0,41687.0,40548.0,46331.0,49103.0,50284.0,49738.0,51532.0,51898.0,52555.0,52964.0,53142.0,52976.0,53328.0,53307.0,52946.0,49992.0,49663.0,49432.0,48775.0,48301.0,49437.0,49882.0,48974.0,49737.0,48411.0,
