nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,15,Pará,1501,257758.46,348741.3,374632.29000000004,761805.71,909358.4299999999,827432.38,817465.79,821198.6,671416.61,638759.78,965607.14,1269057.48,842054.41,832163.09,599906.99,550782.29,540464.53,565921.89,759059.9,889251.7,938835.8300000001,935351.9,1106038.68,675487.9299999999,842462.53,852681.8300000001,930545.0,993691.0,1357239.0,1443726.0,1334459.0,1326281.0,1174603.0,1355580.0,1316379.0,1357411.0,1406119.0,1540369.0,1713179.0,1755826.0,1563776.0,1170487.0,1360386.0,1184799.0,1168288.0,1321174.0,1751823.0,1925973.0,1682983.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,15,Pará,1502,70844.25,79227.45999999999,66345.18,90374.57,105273.85,57584.16,79488.51,138506.36,82416.26,78007.81,43555.880000000005,33137.16,140313.29,157771.19,16988.8,28082.42,50093.78,64851.92,43386.4,50725.39,57572.5,61928.06,60613.19,59348.4,56475.990000000005,60558.58,48422.0,38054.0,43374.0,36665.0,36459.0,38260.0,35015.0,31550.0,33677.0,36473.0,49818.0,94011.0,88432.0,89184.0,83241.0,327972.0,185112.0,186388.0,232124.0,261202.0,294733.0,228870.0,258757.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,15,Pará,1503,70829.87,96857.39,81634.39,65542.55,72213.63,65847.1,84613.1,104155.53,96097.09,118471.64,128040.08,84664.88,77981.16,91293.47,68782.55,57337.39,67704.02,65647.01,72465.08,72871.86,85316.82,94851.57,102299.2,111613.14,114657.95,127492.57,133017.0,156489.0,186899.0,226896.0,294906.0,408032.0,251676.0,256494.0,146013.0,202686.0,146601.0,141931.0,151049.0,150789.0,230592.0,204041.0,165717.0,170265.0,159112.0,172355.0,174163.0,257216.0,258509.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,15,Pará,1504,975005.77,1013115.49,961540.68,978992.69,865602.4299999999,905854.72,997951.39,1015116.97,891484.62,997950.35,923816.5800000001,1060308.78,1108680.53,1142351.52,1113511.33,1259265.85,1358819.56,1299103.45,1633264.03,1765480.92,1754517.21,1822268.61,1644961.29,1623090.15,1939110.44,1779438.05,1942453.0,2169051.0,2324086.0,2355133.0,2782626.0,2785815.0,3114782.0,2642733.0,2590406.0,2579327.0,2546867.0,2445385.0,2336037.0,2507673.0,2372129.0,2239318.0,2407126.0,2329190.0,2362654.0,2440176.0,2386885.0,2538326.0,2397587.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,15,Pará,1505,66774.96,68878.39,62053.729999999996,77743.06,68800.29,73970.28,61805.87,65555.16,46465.92,61732.380000000005,59331.08,69322.45,104677.03,214096.66999999998,853661.25,788694.09,879767.56,794944.11,1000587.94,1082907.69,980392.6799999999,1138637.56,1049291.31,1074858.92,875797.77,1129987.07,814878.0,880902.0,801392.0,841703.0,881729.0,837528.0,933614.0,854117.0,745053.0,809194.0,832528.0,880644.0,845672.0,921645.0,907320.0,713687.0,787988.0,672419.0,784730.0,813528.0,891496.0,899295.0,908813.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,15,Pará,1506,122940.34,128493.3,181147.76,149444.37,223694.11,262318.5,335356.39,397540.68,361716.67,452734.5,625264.07,888349.76,983125.45,1016225.6699999999,1729042.75,1830885.18,1753840.27,1423720.25,1826157.69,2068485.77,2066957.97,2099899.99,2383002.58,2693417.34,2986361.91,3016571.66,2475922.0,2195032.0,2373441.0,2295543.0,2312091.0,2449236.0,2450501.0,2292458.0,2349360.0,2205283.0,2353625.0,2355291.0,2687805.0,2888717.0,3377987.0,3504857.0,3872104.0,3656206.0,3634966.0,3817908.0,3967524.0,4413245.0,5387256.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,16,Amapá,1601,7893.78,9309.720000000001,9711.92,8985.94,11382.86,11123.83,7161.8,9316.07,9775.06,8387.44,9169.97,11575.81,6841.62,7745.63,18327.45,5834.83,4211.54,4653.97,5131.8099999999995,4943.41,5437.09,9198.64,11016.220000000001,12211.98,12794.39,16266.35,30941.0,33717.0,30547.0,31875.0,35596.0,37930.0,40967.0,42943.0,52853.0,61407.0,66657.0,72776.0,67961.0,74704.0,71988.0,70501.0,78321.0,66886.0,70074.0,69934.0,57710.0,60036.0,38907.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,16,Amapá,1602,18574.92,23394.61,19464.41,17835.17,29399.8,28050.15,36459.5,44781.71,53447.35,49405.24,46767.49,40653.57,23384.86,23812.53,24009.12,21162.3,16767.89,16617.440000000002,19643.239999999998,23799.6,29159.61,27422.85,33089.16,36629.06,41842.19,45659.229999999996,50937.0,57635.0,52714.0,55605.0,63172.0,65925.0,72577.0,77844.0,91366.0,110095.0,103102.0,115299.0,120396.0,164087.0,151067.0,154885.0,176367.0,124777.0,118691.0,122996.0,107099.0,109387.0,103945.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,17,Tocantins,1701,518608.43,639293.62,380517.4,408470.94,477349.27,569158.2,673921.4,801521.24,700366.49,957258.04,1040419.62,1189219.71,1042466.43,1126334.07,1041657.62,600281.06,560335.39,560593.41,528141.05,647659.37,696919.16,365570.95,501942.07,567296.98,656133.78,634625.67,604393.0,565322.0,828336.0,919494.0,1011802.0,808965.0,898887.0,1099938.0,1050991.0,1261143.0,1288088.0,1265884.0,1651103.0,2169665.0,2411198.0,2292756.0,2953806.0,2954291.0,2874535.0,3382506.0,3298954.0,3813831.0,4667896.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,Norte,17,Tocantins,1702,216017.29,244338.59,166722.92,150377.28,165943.72,196859.74,217494.92,267923.55,227798.57,484517.73,494350.83,507852.53,366012.68,415856.16,451466.5,297654.58,287507.21,268035.10000000003,308770.77,376258.95,364510.68,174760.73,254027.66,322204.20999999996,345467.48,401673.94,491424.0,502339.0,638879.0,814542.0,1061157.0,901778.0,947084.0,1187782.0,1476789.0,1533335.0,3235512.0,2941550.0,3121122.0,3956775.0,4433113.0,3979218.0,4199010.0,4647562.0,4905455.0,5089210.0,4925692.0,5312688.0,6105002.0,0.0,
