nome,fonte,unidade,codigo_brasil,brasil,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,1,3925084.02,4350046.83,3921267.7,4194584.51,4690384.28,5218877.93,5920319.35,6399858.33,5787786.45,6684172.05,7318953.29,8206436.02,7587556.52,7848515.09,8754583.55,8056240.2,8194250.69,7891728.97,9251439.44,10443326.39,10416974.69,9269063.48,9794686.11,10157920.36,11490762.94,11757015.85,10577172.0,10817330.0,12115989.0,12707996.0,13873332.0,13548333.0,13796240.0,14466407.0,14253093.0,14232010.0,16928015.0,17017729.0,18028114.0,20360608.0,21375829.0,20503574.0,22126980.0,21325466.0,22061454.0,23371560.0,23871285.0,26433827.0,29366198.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,55832860.8,57576859.66,65961855.05,67833788.52,71057811.76,68568681.68,72734033.55,79576263.61,74327513.25,78824108.45,87118125.35,89368086.94,98776556.54,83925240.89,91815555.2,91178292.85,91414546.93,87557069.61,56206375.38,79045819.51,83737894.23,69914329.73,78996104.01,78170245.71,69915341.28,79213625.59,77539066.0,79415883.0,85612861.0,88270352.0,85133823.0,87777815.0,93806238.0,101789617.0,95299940.0,94346446.0,102688759.0,90879143.0,89757529.0,94034498.0,88470605.0,74719261.0,75407809.0,77042132.0,78960283.0,82099331.0,85849094.0,88577694.0,94716275.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,3,79078151.97,89445185.13,95737522.36,101498460.64,109443777.17,122209211.26,124966461.47,147550312.28,172420424.92,175759761.37,191315061.97,181238078.91,197470261.07,199625702.14,189650547.66,192804478.36,198721917.97,206848572.83,207693165.49,232621651.61,236335874.21,249939284.63,257012138.8,262658842.26,263444062.07,254252334.86,263130290.0,280847031.0,299508569.0,319124632.0,334258161.0,373495015.0,419661136.0,488280431.0,518836784.0,539929113.0,548142494.0,533386440.0,558816697.0,524056297.0,543850142.0,563292612.0,572389863.0,553549382.0,552289024.0,565487010.0,529198588.0,552984293.0,583506958.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,4,43235343.63,46068638.4,41018036.96,34128948.22,35433874.31,43751991.68,45976889.83,42911335.01,45321735.11,46948947.98,52872880.62,45187025.24,58247744.86,53031640.46,56018542.28,53850198.4,45128991.92,59542824.68,62061372.37,64225912.66,70662133.34,65950186.66,69933025.59,74237234.12,76331250.56,71309008.38,88758590.0,83535585.0,101353585.0,92617139.0,79323812.0,94880047.0,119089632.0,125676630.0,119842135.0,126684186.0,126999025.0,116451916.0,134591533.0,132402909.0,136380142.0,132370239.0,135277830.0,126555693.0,129396986.0,123897570.0,125778717.0,110019811.0,127482280.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,5,8208866.45,10940398.75,8500822.77,7562457.47,9382887.38,10823045.56,10418418.92,12871601.14,15587674.41,18452860.54,22643393.25,25437882.17,29376518.76,28273711.25,31728443.16,27155177.93,28963421.92,30703645.99,31864390.34,36503067.82,39552296.86,41278722.32,45760459.06,48577503.11,52473490.18,51552276.04,58609188.0,65665580.0,75300761.0,77606788.0,80570460.0,85250641.0,97598514.0,121389418.0,135130050.0,151008306.0,160425482.0,183953750.0,210457591.0,216242628.0,226075751.0,218328161.0,244170834.0,247200807.0,261999080.0,265937956.0,253598496.0,260717888.0,312618427.0,0.0,
