nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,24,1842655.75,2124377.41,2420624.37,2766725.63,2118340.31,2363688.16,2193841.33,3496850.18,2886492.36,3315782.64,3288338.67,3806237.71,3661694.55,3717294.7399999998,3535927.99,2936395.91,3802573.57,3149693.48,1686945.49,3066978.8,3056459.43,3031246.68,2961175.07,2432616.08,1971477.26,2930125.82,2232113.0,3510032.0,3841943.0,4179708.0,4248660.0,4216178.0,4658940.0,4896588.0,5074149.0,4468293.0,4176289.0,4669733.0,4073725.0,4273353.0,4050892.0,3887271.0,4097388.0,4365210.0,4369734.0,4394403.0,4542951.0,3857558.0,4297990.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,25,3715903.4,4324957.8,5525372.14,5422381.85,5832311.58,6159215.34,6052263.13,8148213.41,7961341.67,10079898.55,11729354.04,11876453.54,10496646.55,9871228.99,9811287.67,9230835.85,9219304.41,9009704.57,2445861.23,5818850.91,7773034.79,4592709.33,5322425.62,3866979.04,3730125.77,4851978.66,5420917.0,5667311.0,6844061.0,7083456.0,5661048.0,6906686.0,6925965.0,7107409.0,7042626.0,6246345.0,6984187.0,6200474.0,6450350.0,7102793.0,7109677.0,7228545.0,5702891.0,5839532.0,5795884.0,6096185.0,5994489.0,6176324.0,7464883.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,26,15633091.2,18372823.41,20055835.28,20087049.93,20654328.96,18970126.36,19237042.3,20204888.75,21672183.19,22670314.3,23371615.8,24032571.95,25113821.55,25082480.17,26536739.07,25026925.43,25875713.669999998,27220419.01,16062807.94,21507946.12,23026815.28,20849013.93,22837301.59,20884837.15,13437377.74,16669270.11,17078389.0,19069898.0,19893542.0,20522879.0,18767713.0,19415595.0,21341461.0,21899823.0,21044754.0,21264470.0,21068118.0,15472960.0,15989117.0,16643626.0,17113515.0,14721505.0,13525272.0,14536016.0,14174174.0,16376795.0,17196796.0,18816013.0,18469657.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,27,11227447.12,11163117.77,15432262.67,16400361.31,19300241.82,17664100.99,21152552.43,22059984.51,22489052.79,21720169.01,25409589.09,21734517.56,34827514.49,18153630.74,23176068.62,26573495.19,22591229.2,23001321.77,13300675.14,22346363.51,22193875.08,21314029.04,25416403.76,29105022.64,27399820.32,28382137.6,29322497.0,25729905.0,27530691.0,26738342.0,24179533.0,23874352.0,25389706.0,29750187.0,27318832.0,24849026.0,29736734.0,28122190.0,28509594.0,27287112.0,21191443.0,19215781.0,18231363.0,17469132.0,19461374.0,16205545.0,18344648.0,17968872.0,19860432.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,28,1563399.84,1249843.3,1684783.95,1936349.6600000001,1945244.54,2129786.81,2175234.91,2510107.06,2183131.62,1840141.14,2736221.72,3271867.69,3372427.14,3102158.41,3201045.11,3396120.56,3348938.35,2877719.08,2937254.93,2959276.61,2640841.91,2662150.04,2900372.4,2744281.56,2453986.81,2527819.18,2535954.0,2465172.0,2787899.0,3178318.0,3334585.0,3504125.0,4050515.0,4443188.0,4736982.0,5487220.0,5209150.0,4905130.0,4939996.0,4921176.0,4715289.0,3378723.0,3798343.0,2795115.0,3131659.0,3547247.0,3411412.0,3628210.0,3987991.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,29,10067488.73,8460801.41,8768894.65,9284849.89,9747632.02,10271750.21,11603690.02,10348101.15,9100528.53,8999973.45,11580416.53,11755666.57,9788505.72,10523043.04,11428415.21,10452087.19,11200687.0,10927100.89,10248516.98,10938780.75,11497389.36,11032328.33,12567733.39,12052450.86,12370273.24,14496977.91,12961569.0,13794334.0,14183596.0,16023888.0,17506070.0,17256178.0,18511549.0,18790447.0,16226042.0,18134129.0,19313550.0,17375676.0,16773185.0,18794386.0,19547606.0,16471863.0,15386897.0,16887693.0,15657097.0,17752061.0,18544382.0,18824537.0,20510322.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,3,Sudeste,31,17779682.97,16565817.71,15916468.72,15321755.6,16074430.19,17403105.37,18906129.43,19794170.6,22044123.53,22612062.93,26239931.96,27287999.32,28453473.83,27460396.64,26148752.74,25090099.72,27217444.9,26737270.96,25794055.4,26360625.82,26783791.11,22106123.58,26269693.6,27738419.7,28626636.39,29973899.44,30239842.0,30868099.0,33978683.0,38639794.0,40219017.0,45531826.0,52586638.0,63150918.0,73679179.0,75964278.0,83506489.0,87759845.0,89232232.0,88150874.0,86286820.0,87863138.0,87858029.0,89593678.0,92184920.0,99557830.0,90238682.0,95610925.0,106873010.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,3,Sudeste,32,2535170.81,2849288.91,2879031.09,3032543.99,2729275.09,2373006.64,2293553.87,3295669.71,3706868.51,4238988.59,4656043.28,4918981.57,4628454.45,4386527.7,3975186.43,2986569.09,3370458.56,3573381.04,3623363.7,3798416.04,3501576.81,3967692.63,3785287.13,3921127.46,3881578.32,4201834.45,4153532.0,4273070.0,4964717.0,5394095.0,5628714.0,5561590.0,5815147.0,6554057.0,6621126.0,6618500.0,6084602.0,6151217.0,5351551.0,5624008.0,4596738.0,3858845.0,3809616.0,4426810.0,4200883.0,4228828.0,4626600.0,4930264.0,4817845.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,3,Sudeste,33,9008933.31,7965063.3,10530181.19,10043733.26,10838121.22,10929975.28,10875609.61,12197714.79,11468610.25,11070059.469999999,12420106.4,11886467.49,10367168.5,12670592.9,11371861.48,6897158.63,9375671.57,8258253.14,8083447.7,8118606.81,8303595.6899999995,8374201.47,8238537.42,8384138.88,8285357.390000001,7919453.24,5801813.0,7878871.0,7873577.0,9323013.0,8229872.0,7489856.0,6562141.0,7153215.0,7058765.0,7030800.0,5825308.0,6462090.0,5581526.0,5447515.0,4504002.0,3068893.0,2841551.0,2639420.0,2990259.0,2806227.0,3029463.0,3189734.0,2843345.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,3,Sudeste,35,49754364.88,62065015.21,66411841.36,73100427.79,79801950.67,91503123.97,92891168.56,112262757.18,135200822.63,137838650.38,147998980.33,137144630.53,154021164.29,155108184.9,148154747.01,157830650.92,158758342.94,168279667.69,170192298.69,194344002.94,197746910.6,215491266.95,218718620.65,222615156.22,222650489.97,212157147.73,222935103.0,237826991.0,252691592.0,265767730.0,280180558.0,314911743.0,354697210.0,411422241.0,431477714.0,450315535.0,452726095.0,433013288.0,458651388.0,424833900.0,448462582.0,468501736.0,477880667.0,456889474.0,452912962.0,458894125.0,431303843.0,449253370.0,468972758.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,4,Sul,41,17688578.79,19480807.25,17480582.62,12978614.89,15844518.48,19900838.48,20200541.64,20897409.83,23816680.85,22844688.51,27534922.71,23752558.44,31478123.65,29330680.72,28465267.46,26961518.72,26621906.73,30023512.12,32626028.88,35979847.57,41114078.1,44714704.44,45769591.45,48889144.71,51104946.14,44645157.77,56434279.0,55150283.0,65554061.0,62451596.0,56322608.0,62485992.0,80371758.0,88268418.0,83677878.0,86849707.0,83179406.0,85102469.0,91000655.0,90161198.0,91553330.0,88796904.0,86579384.0,81655496.0,83262988.0,86514890.0,76869311.0,73080030.0,88252499.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,4,Sul,42,7275571.47,6995431.27,6680456.48,5468586.46,5729046.18,7402458.13,7801136.7,7086537.17,5490609.89,6884084.31,6996996.15,6755145.55,7530686.99,7435746.12,7792493.83,7741054.56,5796393.33,8209818.22,8119453.25,8192312.08,7966806.54,5407545.86,6368917.74,6323955.89,6738784.01,7749636.12,8545529.0,7736518.0,9289691.0,8265042.0,7470838.0,7961039.0,9510940.0,10038230.0,9342182.0,9866032.0,9299500.0,8043918.0,9190118.0,9168892.0,8966298.0,8704072.0,9428659.0,8583994.0,8626023.0,8616844.0,8209566.0,8279908.0,9242490.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,4,Sul,43,18271193.37,19592399.88,16856997.86,15681746.87,13860309.65,16448695.07,17975211.49,14927388.01,16014444.37,17220175.16,18340961.76,14679321.25,19238934.22,16265213.62,19760780.99,19147625.12,12710691.86,21309494.34,21315890.24,20053753.01,21581248.7,15827936.36,17794516.4,19024133.52,18487520.41,18914214.49,23778782.0,20648784.0,26509833.0,21900501.0,15530366.0,24433016.0,29206934.0,27369982.0,26822075.0,29968447.0,34520119.0,23305529.0,34400760.0,33072819.0,35860514.0,34869263.0,39269787.0,36316203.0,37507975.0,28765836.0,40699840.0,28659873.0,29987291.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,5,Centro-Oeste,50,2658683.83,3392199.82,2916386.9,2169337.92,2508111.65,3206258.04,3463354.41,4133803.73,4947296.8,5933341.41,7290422.17,7572703.8,8796952.83,8541340.23,8849957.23,7752452.86,7787163.67,7510628.1,8085738.33,8290740.78,9540915.96,9871963.13,10447876.78,11311531.129999999,12748577.9,10328710.56,13889812.0,14311249.0,17162382.0,16235238.0,15487530.0,19315843.0,24432059.0,30312023.0,32080183.0,44520082.0,44468069.0,49655863.0,56640295.0,59686997.0,62154974.0,66265789.0,66766968.0,68000536.0,71891877.0,70639846.0,66075428.0,63328641.0,80846989.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,5,Centro-Oeste,51,1473346.65,2283421.77,2057376.62,2043657.88,2064171.63,2327370.18,2216184.83,2764043.91,3129246.69,3830600.39,5014147.9399999995,5975419.59,7240156.38,7473868.32,9101404.87,8009737.27,7868389.38,9850241.03,10671764.44,13229316.23,15085547.06,16111793.05,19035376.43,19502320.48,21224168.09,21189920.259999998,24190894.0,28363396.0,32596507.0,35102558.0,36792345.0,34783857.0,37811142.0,42879847.0,43945710.0,42916689.0,43904599.0,55720860.0,64487356.0,64921811.0,70594606.0,61939826.0,81025242.0,79429259.0,88176145.0,90604687.0,87831947.0,94690007.0,114716509.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,5,Centro-Oeste,52,4044648.97,5233518.56,3497792.06,3293503.59,4758207.03,5219580.24,4657779.46,5878645.97,7401926.55,8571412.19,10179682.13,11728079.41,13137510.39,12037445.58,13531101.6,11203935.38,13045926.73,13103963.98,12892722.17,14730948.55,14661585.64,15044818.46,15957587.59,17473173.51,18195621.16,19694402.26,20237435.0,22636236.0,25136915.0,25850226.0,27748503.0,30638783.0,34801556.0,47552849.0,58444765.0,62955700.0,71361570.0,77808148.0,88591631.0,90548592.0,92463792.0,89478815.0,95507286.0,98991304.0,101038183.0,103767319.0,98925572.0,101916295.0,116288847.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,5,Centro-Oeste,53,32187.0,31258.6,29267.190000000002,55958.08,52397.07,69837.1,81100.22,95107.53,109204.37,117506.55,159141.01,161679.37,201899.16,221057.12,245979.46,189052.41999999998,261942.14,238812.88,214165.4,252062.26,264248.2,250147.68,319618.26,290477.99,305123.03,339242.95999999996,291047.0,354699.0,404957.0,418766.0,542082.0,512158.0,553757.0,644699.0,659392.0,615835.0,691244.0,768879.0,738309.0,1085228.0,862379.0,643731.0,871338.0,779708.0,892875.0,926104.0,765549.0,782945.0,766082.0,0.0,
