nome,fonte,unidade,codigo_brasil,brasil,codigo_regiao,regiao,codigo_estado,estado,codigo_mesorregiao,mesorregiao,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2305,Jaguaribe,23023,216045.63,187264.38,185241.37,176674.97,151421.18,118608.47,80220.26999999999,149613.49,88435.76,122400.38,109362.24,177206.77,122548.04,148669.99,149833.6,129504.52,158747.31,109370.86,94474.38,129289.36,146928.87,97505.09,107157.86,115002.31999999999,126533.92,109413.17,77824.0,118719.0,122189.0,127155.0,113618.0,150308.0,166754.0,194648.0,241673.0,265730.0,348357.0,314594.0,361662.0,345962.0,263524.0,269879.0,205358.0,140618.0,161626.0,168532.0,162642.0,173894.0,168148.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2305,Jaguaribe,23024,14730.83,5757.3099999999995,10964.4,12351.58,2469.49,3395.74,1099.01,8512.64,1332.48,13436.06,9461.06,16008.88,7498.43,22787.73,17411.91,16382.91,21276.68,16054.779999999999,3927.95,21541.42,17875.87,12852.0,12334.73,5026.639999999999,18672.09,19424.09,5668.0,15595.0,18052.0,9636.0,6190.0,16055.0,7593.0,15380.0,10989.0,2771.0,13220.0,1817.0,1599.0,4187.0,1977.0,2021.0,2898.0,4045.0,5743.0,6653.0,5437.0,6790.0,4457.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2305,Jaguaribe,23025,21207.17,12212.630000000001,12494.35,12603.26,7078.9,11321.0,2418.63,15822.54,4639.82,14186.36,12085.99,15026.44,4493.99,35731.06,14300.88,7483.62,25099.48,21344.02,2092.03,29986.15,19265.7,11101.2,10425.33,1722.72,5977.08,15278.369999999999,2421.0,11771.0,12671.0,9065.0,4494.0,13675.0,6642.0,11684.0,9420.0,1876.0,10739.0,1428.0,1058.0,4337.0,701.0,1614.0,3782.0,8467.0,8747.0,10577.0,10939.0,11539.0,7603.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2306,Centro-Sul Cearense,23026,90484.22,44554.5,73475.56,56751.14,46088.590000000004,40167.5,35268.8,47899.42,39075.78,106963.11,92622.48,121638.74,111745.19,91411.1,96723.37,87899.65,107069.86,102977.41,56864.53,83176.37,98760.03,67989.27,67884.17,55765.159999999996,71309.94,95519.05,56046.0,75865.0,94939.0,75150.0,71200.0,84383.0,56671.0,55795.0,59585.0,45774.0,72776.0,37061.0,24547.0,61045.0,18651.0,22142.0,25632.0,34987.0,40707.0,58182.0,60191.0,42062.0,40846.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2306,Centro-Sul Cearense,23027,61293.01,38223.869999999995,40449.54,32622.08,15402.380000000001,12551.11,8233.88,16202.630000000001,5987.83,17142.31,13454.14,17172.58,11981.77,27750.170000000002,30851.43,30851.07,29697.43,28869.35,13929.95,40368.29,31633.37,26256.69,29439.14,8362.48,26407.29,34046.81,14389.0,26338.0,43030.0,27256.0,14754.0,38684.0,16613.0,37290.0,34039.0,16241.0,40877.0,13766.0,8551.0,32541.0,8523.0,9561.0,19792.0,27362.0,15119.0,32630.0,22198.0,19326.0,23419.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2306,Centro-Sul Cearense,23028,31840.26,14109.92,15055.44,12596.970000000001,10057.36,5697.42,8615.05,14889.210000000001,5370.7300000000005,14363.29,14407.07,23079.48,19299.01,22274.2,15293.73,13500.91,18719.63,16479.18,9355.5,22868.75,21320.84,31320.62,26529.899999999998,12287.84,19853.75,28347.33,12643.0,31802.0,35508.0,19727.0,17344.0,30805.0,18981.0,23502.0,22559.0,12320.0,22372.0,11525.0,9302.0,14266.0,7770.0,5162.0,15272.0,21195.0,18126.0,23993.0,21721.0,20094.0,17645.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2307,Sul Cearense,23029,80395.25,90149.7,376794.15,341807.52,232378.61,263670.98,204980.9,117726.53,78765.86,87940.87,146816.5,211047.95,167312.24,65149.72,75486.0,166439.91,205905.36,199310.72,89667.01000000001,157122.28,146520.27000000002,40231.59,32076.25,73724.64,103388.08,91884.77,133034.0,167788.0,137083.0,111217.0,117011.0,155535.0,84946.0,181294.0,155254.0,71532.0,149774.0,12162.0,46488.0,128551.0,63202.0,64657.0,125269.0,139608.0,145231.0,167965.0,113509.0,248997.0,216018.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2307,Sul Cearense,23030,39017.83,39616.64,49579.42,50409.7,42878.43,23482.23,15547.65,26855.5,16937.1,19103.66,29795.86,25842.2,18406.15,18683.28,19767.19,19736.09,24400.83,23267.02,12039.75,20846.93,22068.21,22404.75,25767.92,12357.21,20802.37,25111.17,13062.0,27220.0,31750.0,21350.0,14469.0,30672.0,16940.0,31641.0,29043.0,9183.0,25578.0,7924.0,6020.0,24242.0,6345.0,5147.0,17909.0,13632.0,13670.0,21309.0,15955.0,14328.0,10823.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2307,Sul Cearense,23031,76305.02,51903.91,65743.27,54989.21,60258.86,47098.100000000006,29524.78,33700.7,30513.04,43814.69,47768.05,111691.05,103397.32,100178.86,68115.1,64871.19,91074.87,64159.56,63647.95,108985.01999999999,102765.98,75300.47,73867.23,59147.65,87206.0,126374.51000000001,48328.0,94131.0,87913.0,56503.0,37496.0,113724.0,84738.0,93653.0,106603.0,28448.0,86726.0,27661.0,17892.0,25820.0,8767.0,10546.0,29938.0,57365.0,26731.0,48754.0,38792.0,77030.0,47673.0,0.0,
Instituto Brasileiro de Geografia e Estatística,Tonelada,0,brasil,2,Nordeste,23,Ceará,2307,Sul Cearense,23032,609459.91,572230.87,592198.49,618692.69,489268.73,351105.54,339730.52,470606.3,435267.85000000003,391844.96,429598.89,505640.46,465960.38,527479.33,499435.87,455310.39999999997,508422.63,358068.8,298863.67,440301.11,462487.32,407721.21,411396.22,404712.31,436857.42000000004,416091.17,332318.0,357463.0,355290.0,316759.0,273612.0,302054.0,216306.0,277248.0,299933.0,261340.0,247613.0,119467.0,131036.0,156605.0,167331.0,86848.0,121834.0,114345.0,138303.0,165708.0,152216.0,140414.0,115020.0,0.0,
